"ID_TEMPO","NU_ANO","NU_MES","NU_ANOMES","SG_MES","NM_MESANO","NM_MES","NU_DIA","DT_TEMPO","NU_HORA"
559,2007,3,200703,Mar,Mar/2007,Março    ,12,2007-03-12 00:00:00,16
560,2007,3,200703,Mar,Mar/2007,Março    ,12,2007-03-12 00:00:00,17
561,2007,3,200703,Mar,Mar/2007,Março    ,12,2007-03-12 00:00:00,18
562,2007,3,200703,Mar,Mar/2007,Março    ,13,2007-03-13 00:00:00,8
563,2007,3,200703,Mar,Mar/2007,Março    ,13,2007-03-13 00:00:00,9
564,2007,3,200703,Mar,Mar/2007,Março    ,13,2007-03-13 00:00:00,10
565,2007,3,200703,Mar,Mar/2007,Março    ,13,2007-03-13 00:00:00,11
566,2007,3,200703,Mar,Mar/2007,Março    ,13,2007-03-13 00:00:00,12
567,2007,3,200703,Mar,Mar/2007,Março    ,13,2007-03-13 00:00:00,13
568,2007,3,200703,Mar,Mar/2007,Março    ,13,2007-03-13 00:00:00,14
569,2007,3,200703,Mar,Mar/2007,Março    ,13,2007-03-13 00:00:00,15
570,2007,3,200703,Mar,Mar/2007,Março    ,13,2007-03-13 00:00:00,16
571,2007,3,200703,Mar,Mar/2007,Março    ,13,2007-03-13 00:00:00,17
572,2007,3,200703,Mar,Mar/2007,Março    ,13,2007-03-13 00:00:00,18
573,2007,3,200703,Mar,Mar/2007,Março    ,14,2007-03-14 00:00:00,8
574,2007,3,200703,Mar,Mar/2007,Março    ,14,2007-03-14 00:00:00,9
575,2007,3,200703,Mar,Mar/2007,Março    ,14,2007-03-14 00:00:00,10
576,2007,3,200703,Mar,Mar/2007,Março    ,14,2007-03-14 00:00:00,11
577,2007,3,200703,Mar,Mar/2007,Março    ,14,2007-03-14 00:00:00,12
578,2007,3,200703,Mar,Mar/2007,Março    ,14,2007-03-14 00:00:00,13
579,2007,3,200703,Mar,Mar/2007,Março    ,14,2007-03-14 00:00:00,14
580,2007,3,200703,Mar,Mar/2007,Março    ,14,2007-03-14 00:00:00,15
581,2007,3,200703,Mar,Mar/2007,Março    ,14,2007-03-14 00:00:00,16
582,2007,3,200703,Mar,Mar/2007,Março    ,14,2007-03-14 00:00:00,17
583,2007,3,200703,Mar,Mar/2007,Março    ,14,2007-03-14 00:00:00,18
584,2007,3,200703,Mar,Mar/2007,Março    ,15,2007-03-15 00:00:00,8
585,2007,3,200703,Mar,Mar/2007,Março    ,15,2007-03-15 00:00:00,9
586,2007,3,200703,Mar,Mar/2007,Março    ,15,2007-03-15 00:00:00,10
587,2007,3,200703,Mar,Mar/2007,Março    ,15,2007-03-15 00:00:00,11
588,2007,3,200703,Mar,Mar/2007,Março    ,15,2007-03-15 00:00:00,12
589,2007,3,200703,Mar,Mar/2007,Março    ,15,2007-03-15 00:00:00,13
590,2007,3,200703,Mar,Mar/2007,Março    ,15,2007-03-15 00:00:00,14
591,2007,3,200703,Mar,Mar/2007,Março    ,15,2007-03-15 00:00:00,15
592,2007,3,200703,Mar,Mar/2007,Março    ,15,2007-03-15 00:00:00,16
593,2007,3,200703,Mar,Mar/2007,Março    ,15,2007-03-15 00:00:00,17
594,2007,3,200703,Mar,Mar/2007,Março    ,15,2007-03-15 00:00:00,18
595,2007,3,200703,Mar,Mar/2007,Março    ,16,2007-03-16 00:00:00,8
596,2007,3,200703,Mar,Mar/2007,Março    ,16,2007-03-16 00:00:00,9
597,2007,3,200703,Mar,Mar/2007,Março    ,16,2007-03-16 00:00:00,10
598,2007,3,200703,Mar,Mar/2007,Março    ,16,2007-03-16 00:00:00,11
599,2007,3,200703,Mar,Mar/2007,Março    ,16,2007-03-16 00:00:00,12
600,2007,3,200703,Mar,Mar/2007,Março    ,16,2007-03-16 00:00:00,13
601,2007,3,200703,Mar,Mar/2007,Março    ,16,2007-03-16 00:00:00,14
602,2007,3,200703,Mar,Mar/2007,Março    ,16,2007-03-16 00:00:00,15
603,2007,3,200703,Mar,Mar/2007,Março    ,16,2007-03-16 00:00:00,16
604,2007,3,200703,Mar,Mar/2007,Março    ,16,2007-03-16 00:00:00,17
605,2007,3,200703,Mar,Mar/2007,Março    ,16,2007-03-16 00:00:00,18
606,2007,3,200703,Mar,Mar/2007,Março    ,19,2007-03-19 00:00:00,8
607,2007,3,200703,Mar,Mar/2007,Março    ,19,2007-03-19 00:00:00,9
608,2007,3,200703,Mar,Mar/2007,Março    ,19,2007-03-19 00:00:00,10
609,2007,3,200703,Mar,Mar/2007,Março    ,19,2007-03-19 00:00:00,11
610,2007,3,200703,Mar,Mar/2007,Março    ,19,2007-03-19 00:00:00,12
611,2007,3,200703,Mar,Mar/2007,Março    ,19,2007-03-19 00:00:00,13
612,2007,3,200703,Mar,Mar/2007,Março    ,19,2007-03-19 00:00:00,14
613,2007,3,200703,Mar,Mar/2007,Março    ,19,2007-03-19 00:00:00,15
